name,inat_place_id,orgname,fws_region,prop_type
Agassiz National Wildlife Refuge,119142,AGASSIZ NATIONAL WILDLIFE REFUGE,3,NWR
Alamosa National Wildlife Refuge,119140,ALAMOSA NATIONAL WILDLIFE REFUGE,6,NWR
Alaska Maritime National Wildlife Refuge,119149,ALASKA MARITIME NATIONAL WILDLIFE REFUGE,7,NWR
Alaska Peninsula National Wildlife Refuge,119148,ALASKA PENINSULA NATIONAL WILDLIFE REFUGE,7,NWR
Alligator River National Wildlife Refuge,119150,ALLIGATOR RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Amagansett National Wildlife Refuge,119141,AMAGANSETT NATIONAL WILDLIFE REFUGE,5,NWR
Anaho Island National Wildlife Refuge,119151,ANAHO ISLAND NATIONAL WILDLIFE REFUGE,8,NWR
Anahuac National Wildlife Refuge,119688,ANAHUAC NATIONAL WILDLIFE REFUGE,2,NWR
Ankeny National Wildlife Refuge,119152,ANKENY NATIONAL WILDLIFE REFUGE,1,NWR
Antioch Dunes National Wildlife Refuge,119158,ANTIOCH DUNES NATIONAL WILDLIFE REFUGE,8,NWR
Aransas National Wildlife Refuge,119159,ARANSAS NATIONAL WILDLIFE REFUGE,2,NWR
Arapaho National Wildlife Refuge,119166,ARAPAHO NATIONAL WILDLIFE REFUGE,6,NWR
Archie Carr National Wildlife Refuge,119167,ARCHIE CARR NATIONAL WILDLIFE REFUGE,4,NWR
Arctic National Wildlife Refuge,119172,ARCTIC NATIONAL WILDLIFE REFUGE,7,NWR
Ardoch National Wildlife Refuge,119168,ARDOCH NATIONAL WILDLIFE REFUGE,6,NWR
Aroostook National Wildlife Refuge,119169,AROOSTOOK NATIONAL WILDLIFE REFUGE,5,NWR
Arrowwood National Wildlife Refuge,119170,ARROWWOOD NATIONAL WILDLIFE REFUGE,6,NWR
Arrowwood Wetland Management District,119171,ARROWWOOD WETLAND MANAGEMENT DISTRICT,6,WMD
Arthur R. Marshall Loxahatchee National Wildlife Refuge,119160,ARTHUR R. MARSHALL LOXAHATCHEE NATIONAL WILDLIFE REFUGE,4,NWR
Ash Meadows National Wildlife Refuge,119161,ASH MEADOWS NATIONAL WILDLIFE REFUGE,8,NWR
Assabet River National Wildlife Refuge,119162,ASSABET RIVER NATIONAL WILDLIFE REFUGE,5,NWR
Atchafalaya National Wildlife Refuge,119163,ATCHAFALAYA NATIONAL WILDLIFE REFUGE,4,NWR
